Quarter,Consumer Price Index,UNRATE,Personal Savings,Inflation Rate,GDP,Personal Consumption Expenditures,Gross Savings,Gross saving as a percentage of gross national income,Gross domestic investment,Net saving as a percentage of gross national income,FEDFUNDS,Military Spending
1947-03-31,21.633333333333336,,12.595,18.86666666666667,243.164,156.2,47.1,19.6,40.8,7.9,,
1947-06-30,21.933333333333334,,8.476,18.333333333333332,245.968,160.0,46.7,19.1,39.6,7.4,,
1947-09-30,22.566666666666666,,12.635,12.066666666666668,249.585,163.5,49.1,19.7,41.0,7.9,,
1947-12-31,23.166666666666668,,10.372,9.3,259.745,167.7,54.0,21.0,49.8,9.3,,
1948-03-31,23.53333333333333,3.733333333333333,12.763,8.766666666666667,265.742,170.4,59.0,22.1,54.7,10.6,,
1948-06-30,23.933333333333337,3.6666666666666665,16.672,9.1,272.567,174.1,62.7,22.8,58.6,11.5,,
1948-09-30,24.46666666666667,3.766666666666667,19.876,8.433333333333334,279.196,177.1,62.0,22.1,61.3,10.8,,
1948-12-31,24.23333333333333,3.8333333333333335,19.458,4.633333333333333,280.366,177.9,62.4,22.1,60.7,10.8,,
1949-03-31,23.866666666666664,4.666666666666667,15.143,1.4333333333333333,275.034,176.8,54.7,19.9,53.4,8.2,,
1949-06-30,23.866666666666664,5.866666666666667,13.204,-0.26666666666666666,271.351,178.4,48.6,17.9,47.5,6.0,,
1949-09-30,23.8,6.7,13.895,-2.733333333333333,272.889,177.8,50.1,18.4,51.5,6.6,,
1949-12-31,23.7,6.966666666666666,12.25,-2.233333333333333,270.627,180.2,44.8,16.7,49.3,4.6,,
1950-03-31,23.53333333333333,6.3999999999999995,24.168,-1.4000000000000001,280.828,182.9,53.2,19.1,57.4,7.4,,
1950-06-30,23.7,5.566666666666666,20.554,-0.7000000000000001,290.383,186.8,61.7,21.2,63.4,9.9,,
1950-09-30,24.26666666666667,4.633333333333334,13.777,1.9666666666666668,308.153,200.5,67.1,21.7,70.4,10.8,,
1950-12-31,24.766666666666666,4.233333333333333,21.489,4.5,319.945,197.9,77.6,24.2,80.8,13.3,,
1951-03-31,25.63333333333333,3.5,17.543,8.933333333333334,336.0,209.2,74.3,22.2,79.5,11.4,,
1951-06-30,25.866666666666664,3.1,28.863,9.133333333333335,344.09,204.9,82.5,24.1,85.6,13.2,,
1951-09-30,25.96666666666667,3.1666666666666665,29.193,7.033333333333334,351.385,207.6,80.7,23.1,83.1,12.2,,
1951-12-31,26.366666666666664,3.3666666666666667,27.918,6.466666666666666,356.178,211.6,81.5,22.9,81.2,11.9,,
1952-03-31,26.366666666666664,3.0666666666666664,27.357,2.8333333333333335,359.82,213.0,82.0,22.9,82.2,11.9,,
1952-06-30,26.433333333333334,2.966666666666667,26.163,2.1666666666666665,361.03,217.1,76.0,21.1,77.3,9.9,,
1952-09-30,26.7,3.233333333333333,30.082,2.8333333333333335,367.701,219.6,79.3,21.6,82.1,10.4,,
1952-12-31,26.7,2.8333333333333335,27.624,1.2666666666666666,380.812,227.7,82.3,21.6,86.0,10.7,,
1953-03-31,26.566666666666666,2.6999999999999997,27.936,0.7666666666666667,387.98,231.2,84.0,21.7,88.2,10.7,,
1953-06-30,26.7,2.566666666666667,29.81,1.0,391.749,233.0,84.2,21.6,89.3,10.5,,
1953-09-30,26.866666666666664,2.733333333333333,29.134,0.6,391.171,233.7,83.7,21.5,88.5,10.2,,
1953-12-31,26.933333333333334,3.6999999999999997,29.88,0.8333333333333334,385.97,233.1,76.0,19.9,82.4,8.3,,
1954-03-31,26.899999999999995,5.266666666666667,30.581,1.2333333333333334,385.345,235.2,78.9,20.5,82.1,8.8,,
1954-06-30,26.866666666666664,5.8,27.727,0.6333333333333333,386.121,237.9,79.2,20.5,81.4,8.7,,
1954-09-30,26.866666666666664,5.966666666666666,26.989,0.0,390.996,240.3,80.2,20.6,83.7,8.7,1.03,
1954-12-31,26.766666666666666,5.333333333333333,27.288,-0.6,399.734,245.1,84.7,21.2,86.6,9.4,0.9866666666666667,
1955-03-31,26.7,4.733333333333333,26.238,-0.6999999999999998,413.073,251.4,89.9,21.8,92.8,10.3,1.3433333333333335,
1955-06-30,26.7,4.3999999999999995,27.459,-0.6,421.532,256.5,95.4,22.6,97.4,11.2,1.5,
1955-09-30,26.833333333333332,4.1000000000000005,29.515,-0.13333333333333333,430.221,260.7,97.8,22.7,99.0,11.3,1.9400000000000002,
1955-12-31,26.866666666666664,4.233333333333333,29.581,0.4000000000000001,437.092,264.6,102.3,23.3,103.2,11.8,2.356666666666667,
1956-03-31,26.8,4.033333333333333,32.065,0.4000000000000001,439.746,266.2,105.6,23.8,103.9,12.1,2.4833333333333334,
1956-06-30,27.03333333333333,4.2,34.212,1.2333333333333334,446.01,268.8,107.5,23.9,103.6,12.0,2.6933333333333334,
1956-09-30,27.366666666666664,4.133333333333334,35.544,2.0,451.191,272.1,111.6,24.4,106.0,12.4,2.81,
1956-12-31,27.53333333333333,4.133333333333334,36.791,2.466666666666667,460.463,277.4,113.4,24.3,105.8,12.3,2.9266666666666663,
1957-03-31,27.7,3.9333333333333336,36.089,3.366666666666667,469.779,281.9,114.3,24.1,107.5,12.0,2.9333333333333336,
1957-06-30,28.0,4.1000000000000005,38.092,3.5666666666666664,472.025,284.2,114.4,24.0,107.6,11.7,3.0,
1957-09-30,28.3,4.233333333333333,37.779,3.4333333333333336,479.49,288.8,114.2,23.7,109.9,11.3,3.233333333333334,
1957-12-31,28.366666666666664,4.933333333333334,35.588,3.033333333333333,474.864,290.4,104.3,21.9,101.9,9.2,3.2533333333333334,
1958-03-31,28.666666666666668,6.3,37.174,3.466666666666667,467.54,289.9,100.1,21.3,98.0,8.3,1.8633333333333333,
